run,score
1,4460.213483146067
2,2539.7865168539324
3,4423.685393258427
4,4609.651685393258
5,4778.606741573034
6,3854.775280898876
7,3401.741573033708
8,3069.730337078652
9,4572.011235955056
10,3143.38202247191
11,4389.494382022472
12,4625.202247191011
13,4683.730337078652
14,3485.2471910112363
15,377.7977528089888
16,4407.651685393258
17,4744.044943820225
18,4370.730337078652
19,2641.865168539326
20,2990.2247191011234
21,4571.3258426966295
22,4417.370786516854
23,4238.123595505618
24,3812.3370786516853
25,4554.247191011236
26,4688.730337078652
27,4561.76404494382
28,94.7191011235955
29,3838.3370786516853
30,3040.6629213483147
31,3455.011235955056
32,4246.404494382023
33,4224.404494382023
34,3134.3258426966295
35,3890.730337078652
36,3965.8089887640454
37,2517.505617977528
38,4171.730337078652
39,2769.505617977528
40,3841.123595505618
41,857.5955056179776
42,4084.0561797752807
43,2694.9775280898884
44,4266.775280898876
45,4223.808988764045
46,3212.258426966292
47,4537.292134831461
48,3962.8876404494376
49,3583.9662921348317
50,4269.292134831461
51,3282.820224719101
52,3972.4494382022467
53,4706.606741573034
54,4151.85393258427
55,630.876404494382
56,4326.404494382023
57,1076.314606741573
58,2833.5842696629215
59,3359.3258426966295
60,4713.52808988764
61,4104.842696629214
62,4085.483146067416
63,2273.7865168539324
64,2347.067415730337
65,4624.52808988764
66,4330.85393258427
67,3860.685393258427
68,3455.4044943820227
69,3978.7640449438204
70,4438.52808988764
71,5104.202247191011
72,1024.0337078651685
73,1406.3932584269662
74,3634.8539325842703
75,3354.1011235955057
76,4486.76404494382
77,3065.303370786517
78,4334.202247191011
79,3498.61797752809
80,4097.337078651685
81,1810.5505617977528
82,4080.685393258427
83,2274.2247191011234
84,4172.606741573034
85,4149.52808988764
86,350.7977528089888
87,3816.685393258427
88,4485.202247191011
89,3813.044943820225
90,4353.775280898876
91,4223.044943820225
92,4451.168539325843
93,2763.52808988764
94,3136.303370786517
95,3898.4044943820227
96,3449.8876404494376
97,2288.7078651685397
98,3674.168539325843
99,3930.3258426966295
100,3181.820224719101
101,1591.8314606741574
102,3839.7640449438204
103,4585.808988764045
104,4552.573033707865
105,4602.404494382023
106,4252.089887640449
107,4281.573033707865
108,1071.314606741573
109,3239.8539325842703
110,4763.3258426966295
111,4657.808988764045
112,3507.4606741573034
113,4166.573033707865
114,2910.6629213483147
115,961.9550561797753
116,3906.3258426966295
117,3412.61797752809
118,4183.044943820225
119,4347.808988764045
120,2119.067415730337
121,1918.9101123595506
122,4578.089887640449
123,3658.4943820224717
124,2590.505617977528
125,3630.8539325842703
126,3518.5393258426966
127,4363.168539325843
128,2049.988764044944
129,3379.820224719101
130,850.5955056179776
131,4142.494382022472
132,3442.8539325842703
133,3401.730337078652
134,3472.8876404494376
135,3592.7640449438204
136,3630.1011235955057
137,2105.3483146067415
138,4842.202247191011
139,3293.134831460674
140,5030.966292134832
141,4370.76404494382
142,2806.3370786516853
143,4303.842696629214
144,2855.303370786517
145,4949.483146067416
146,1865.629213483146
147,4434.044943820225
